74,SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,BUAY PEMUKA PELIUNG,PEMETUNG BESUKI,"Jl. Lintas Kota Baru, Desa Pemetung Besuki, Kecamatan Buay Pemuka Peliung, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan",SPPG OKUT Buay Pemuka Peliung Pemetung Besuki
75,ACEH,ACEH TENGAH,BINTANG,GELE PULO,"Kampung Gele Pulo, Kecamatan Bintang, Kabupaten Aceh Tengah, Provinsi Aceh",SPPG Aceh Tengah Bintang Gele Pulo
76,JAWA BARAT,MAJALENGKA,SINDANGWANGI,SINDANGWANGI,"Blok Kaliwon, Desa Sindangwangi, Kec. Sindangwangi. Kab. Majalengka, Jawa Barat",SPPG Majalengka Sindangwangi Sindangwangi
77,JAWA TIMUR,SIDOARJO,KREMBUNG,MOJORUNTUT,"Jabon Mojoruntut Rt 18 Rw 09 Kec Krembung Kab Sidoarjo, Krembung, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Krembung Mojoruntut
78,JAWA TENGAH,BREBES,BREBES,GANDASULI,"Jl. Wr. Supratman Gandasuli Brebes, Gandasuli, Kecamatan Brebes, Kabupaten Brebes, Jawa Tengah",SPPG Brebes Brebes Gandasuli
79,JAWA BARAT,BANDUNG,BANJARAN,CIAPUS,"Kampung Panenjoan Rt02/13 Desa Ciapus, Kec. Banjaran, Kab. Bandung Jawa Barat",SPPG Bandung Banjaran Ciapus 3
80,NUSA TENGGARA TIMUR,KUPANG,TAKARI,TAKARI,"Jl. Oesao Bokong, Takari, Kecamatan Takari, Kabupaten Kupang, Nusa Tenggara Timur",SPPG Kupang Takari Takari
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
81,PAPUA BARAT,MANOKWARI,MANOKWARI BARAT,AMBAN,"Jln. Angkasa Mulyono, Amban, Manokwari, Papua Barat",SPPG Manokwari Manokwari Barat Amban
82,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU UTARA I,DURIAN RAMPAK,"Jl. Lintas Sumatera, Durian Rampak, Kec. Lubuk Linggau Utara I, Kota Lubuk Linggau, Sumatera Selatan",SPPG Kota Lubuk Linggau Lubuk Linggau Utara I Durian Rampak
83,JAWA BARAT,BOGOR,CIBINONG,CIRIMEKAR,"Jl. Raya Jakarta Bogor No.42, Kampung Parung Jambu, Cirimekar, Kec. Cibinong, Kab. Bogor, Jawa Barat",SPPG Bogor Cibinong Cirimekar
84,JAWA TENGAH,PATI,WEDARIJAKSA,TAWANGHARJO,"Desa Tawangharjo Rt 4 Rw 2, Kecamatan Wedarijaksa, Kabupaten Pati, Jawa Tengah",SPPG Pati Wedarijaksa Tawangharjo
85,BALI,GIANYAR,SUKAWATI,SINGAPADU,"Jl. Puseh Natih, Br. Negari, Desa Singapadu Tengah, Kec. Sukawati, Kab. Gianyar, Bali",SPPG Gianyar Sukawati Singapadu
86,JAWA TIMUR,JOMBANG,JOMBANG,SAMBONGDUKUH,"Dusun Sambongsantren, Desa Sambongdukuh, Kec. Jombang, Kab. Jombang, Jawa Timur",SPPG Jombang Jombang Sambongdukuh 4
87,JAWA BARAT,KOTA CIMAHI,CIMAHI SELATAN,CIBEBER,"Jl. Kerkof No.214, Cibeber, Kec. Cimahi Selatan, Kota Cimahi, Jawa Barat",SPPG Kota Cimahi Cimahi Selatan Cibeber 6
88,JAWA BARAT,KOTA DEPOK,CINERE,GANDUL,"Jl. Raya Gandul No. 21, Rt. 4 Rw. 1, Gandul, Kec. Cinere, Kota Depok, Jawa Barat",SPPG Kota Depok Cinere Gandul 2
89,JAWA BARAT,PURWAKARTA,CAMPAKA,CIJUNTI,"Kampung Tanjung Garut Rt 003/ 001, Desa Cijunti, Kecamatan Campaka, Kabupaten Purwakarta, Jawa Barat",SPPG Purwakarta Campaka Cijunti
90,SULAWESI BARAT,MAMUJU,KALUKKU,SONDOANG,"Jl. Poros Kalumpang, Sondoang, Kalukku, Kabupaten Mamuju, Sulawesi Barat",SPPG Mamuju Kalukku Sondoang
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
91,JAWA BARAT,BANDUNG,MAJALAYA,BIRU,"Kampung Cisapi, Rt 02 Rw 09, Biru, Kec. Majalaya, Kab. Bandung, Jawa Barat",SPPG Bandung Majalaya Biru 7
92,JAWA TENGAH,PEKALONGAN,TALUN,DONOWANGUN,"Jl. Donowangun Bangun Kidul, Desa Donowangun, Kec. Talun, Kab. Pekalongan, Jawa Tengah",SPPG Pekalongan Talun Donowangun
93,JAWA TENGAH,CILACAP,KARANGPUCUNG,SURUSUNDA,"Desa Surusunda, Kecamatan Karangpucung, Kabupaten Cilacap, Jawa Tengah",SPPG Cilacap Karangpucung Surusunda
94,SUMATERA UTARA,KARO,MUNTE,KINEPPEN,"Kineppen, Kecamatan Munte, Kabupaten Karo, Sumatera Utara",SPPG Karo Munte Kineppen
95,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,JEKAN RAYA,MENTENG,Jl. Temanggung Tillung XII No.03 Kota Palangka Raya,SPPG Kota Palangka Raya Jekan Raya Menteng 2
96,JAWA BARAT,CIREBON,ARJAWINANGUN,ARJAWINANGUN,Kebon pring desa Arjawinangun kecamatan Arjawinangun,SPPG Cirebon Arjawinangun Arjawinangun 2
97,JAWA TENGAH,KOTA SALATIGA,ARGOMULYO,CEBONGAN,"Dukuh Cebongan Kel. Cebongan, Kec. Argomulyo, Kota Salatiga, Jawa Tengah",SPPG Kota Salatiga Argomulyo Cebongan
98,JAWA TENGAH,KEBUMEN,KEBUMEN,MURTIREJO,"Karang Malang Desa Murtirejo Kec. Kebumen Kab. Kebumen, Jawa Tengah",SPPG Kebumen Kebumen Murtirejo
99,JAWA TENGAH,JEPARA,TAHUNAN,NGABUL,"Dukuh Jeruk Gulung, Rt 04 Rw 07 Desa Ngabul, Kec. Tahunan, Kab. Jepara, Jawa Tengah",SPPG Jepara Tahunan Ngabul 3
100,LAMPUNG,LAMPUNG TIMUR,SUKADANA,SUKADANA ILIR,"Jl. Ki Mas Lk. 3, Desa Sukadana Ilir, Kec. Sukadana, Kab. Lampung Timur, Prov. Lampung",SPPG Lampung Timur Sukadana Sukadana Ilir
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
